Algo,Count,Time
Sequential,64,0.000292
Try1,64,0.071304
Try2,64,0.035307
Try3,64,0.03859
Try4,64,0.033739
GPU NULL Stream,64,0.02175
GPU Stream,64,0.362311
Sequential,1024,0.00312
Try1,1024,0.134036
Try2,1024,0.114815
Try3,1024,0.042201
Try4,1024,0.037092
GPU NULL Stream,1024,0.024813
GPU Stream,1024,0.370452
Sequential,2048,0.006183
Try1,2048,0.155301
Try2,2048,0.118011
Try3,2048,0.068452
Try4,2048,0.090964
GPU NULL Stream,2048,0.032797
GPU Stream,2048,0.385628
Sequential,16384,0.217149
Try1,16384,0.475248
Try2,16384,2.35073
Try3,16384,0.292931
Try4,16384,0.305961
GPU NULL Stream,16384,0.141546
GPU Stream,16384,0.520283
Sequential,262144,0.64434
Try1,262144,0.560882
Try2,262144,10.2089
Try3,262144,0.366385
Try4,262144,0.313009
GPU NULL Stream,262144,1.16946
GPU Stream,262144,0.743462
Sequential,1048576,3.50065
Try1,1048576,1.2065
Try2,1048576,29.9392
Try3,1048576,1.36982
Try4,1048576,1.11297
GPU NULL Stream,1048576,4.32647
GPU Stream,1048576,1.98377
